妙蛙种子,3,9,45,49,49,65,65,45,65,34,34,1
妙蛙草,3,9,60,62,63,80,80,60,65,34,34,2
妙蛙花,3,9,80,82,83,100,100,80,65,34,34,3
超级妙蛙花,3,9,80,100,123,122,120,80,47,47,47,3
妙蛙花,3,9,80,82,83,100,100,80,65,34,34,3
小火龙,1,1,39,52,43,60,50,65,66,94,94,4
火恐龙,1,1,58,64,58,80,65,80,66,94,94,5
喷火龙,1,7,78,84,78,109,85,100,66,94,94,6
超级喷火龙X,1,17,78,130,111,130,85,100,181,181,181,6
超级喷火龙Y,1,7,78,104,78,159,115,100,70,70,70,6
喷火龙,1,7,78,84,78,109,85,100,66,94,94,6
杰尼龟,2,2,44,48,65,50,64,43,67,44,44,7
卡咪龟,2,2,59,63,80,65,80,58,67,44,44,8
水箭龟,2,2,79,83,100,85,105,78,67,44,44,9
超级水箭龟,2,2,79,103,120,135,115,78,178,178,178,9
水箭龟,2,2,79,83,100,85,105,78,67,44,44,9
绿毛虫,8,8,45,30,35,20,20,45,19,50,50,10
铁甲蛹,8,8,50,20,55,25,25,30,61,61,61,11
巴大蝶,8,7,60,45,50,90,80,70,14,110,110,12
巴大蝶,8,7,60,45,50,90,80,70,14,110,110,12
独角虫,8,9,40,35,30,20,20,50,19,50,50,13
铁壳蛹,8,9,45,25,50,25,25,35,61,61,61,14
大针蜂,8,9,65,90,40,45,80,75,68,97,97,15
超级大针蜂,8,9,65,150,40,15,80,145,91,91,91,15
波波,5,7,40,45,40,35,35,56,51,77,145,16
比比鸟,5,7,63,60,55,50,50,71,51,77,145,17
大比鸟,5,7,83,80,75,70,70,101,51,77,145,18
超级大比鸟,5,7,83,80,80,135,80,121,99,99,99,18
小拉达,5,5,30,56,35,25,35,72,50,62,55,19
小拉达-阿罗拉的样子,15,5,30,56,35,25,35,72,82,55,47,19
拉达,5,5,55,81,60,50,70,97,50,62,55,20
拉达-阿罗拉的样子,15,5,75,71,70,40,80,77,82,55,47,20
拉达-阿罗拉的样子-霸主,15,5,75,71,70,40,80,77,47,47,47,20
烈雀,5,7,40,60,30,31,31,70,51,97,97,21
大嘴雀,5,7,65,90,65,61,61,100,51,97,97,22
阿柏蛇,9,9,35,60,44,40,54,55,22,61,127,23
阿柏怪,9,9,60,95,69,65,79,80,22,61,127,24
皮卡丘,4,4,35,55,40,50,50,90,9,31,31,25
Pikachu-Cosplay,4,4,35,55,40,50,50,90,31,31,31,25
Pikachu-Rock-Star,4,4,35,55,40,50,50,90,31,31,31,25
Pikachu-Belle,4,4,35,55,40,50,50,90,31,31,31,25
